Référence	Désignation	Code Rayon	PV MB
12206684	PREPARATION FONDANT AU CHOCOLAT	EPIC	 4.50 CHF 
12226661	PREPARATION COEURS COULANTS AU CHOCOLAT	EPIC	 4.50 CHF 
12290993	KIT KAT TRIO	BONB	 1.95 CHF 
21033208	COLORATION FLASHBACK N15 NOIR	COLO	 4.95 CHF 
21033210	COLORATION FLASHBACK N3 CHATAIN CLAIR	COLO	 4.95 CHF 
21170	GATEAUX DOONUTS NAPPES ET MARBRES CHOCOLAT	EPIC	 9.50 CHF 
255400	3 BROSSES A DENTS FLEX PROTECT MEDIUM	HYGI	 2.75 CHF 
370536	12 MINI SACHETS DE SKITTLES AUX FRUITS	BONB	 4.50 CHF 
4231813	MALABAR TUTTI	BONB	 1.50 CHF 
4232209	SACHET DE SUCETTES GOUT CARAMBAR	BONB	 1.75 CHF 
504930	CIRE DIVINE FLEUR DE TIARE	BEAU	 7.50 CHF 
5281	DOUCHE HUILE PRECIEUSE EXTRA NOURRISSANTE AU MONOI	HYGI	 3.75 CHF 
5501N	DOUCHE ET BAIN LAIT HYDRATANT SMOOTHIE PASSION	HYGI	 5.50 CHF 
55120	SHAMPOING BEURRE DE CACAO HUILE DE COCO	HYGI	 3.50 CHF 
718012	TABLETTE CHOCOLAT NOIR SWISS PREMIUM	CHOC	 6.50 CHF 
995263N	DOUCHE GOMMAGE LE SUCRE DE VIOLETTE	HYGI	 2.95 CHF 
A9394202	SHAMPOING RECONSTITUANT TOTAL REPAIR 5 SOIN INTENSIF CHEVEUX ABIMES	HYGI	 3.50 CHF 
E000087	16 CLIPS EXTENSION CHEVEUX BLOND 46CM	COIF	 6.50 CHF 
GI2-VEN4	4 RASOIRS JETABLES VENUS 2 AGILITE	BEAU	 3.50 CHF 
L32451	TUBLE GUM TUTTI	BONB	 1.50 CHF 
ST04900	SET 3 PCS EPONGE KONJAC + BROSSE NETTOYANTE VISAGE + ROULEAU MASSANT	BEAU	 7.50 CHF 
ST10353	BOITE RANGEMENT RECTANGLE COUVERCLE EN BAMBOU	BEAU	 3.75 CHF 
CE00254	DOUDOUNE	VETH	 54.95 CHF 
CE00316	DOUDOUNE	VETH	 54.95 CHF 
CE00403	DOUDOUNE	VETH	 54.95 CHF 
CE00558	BLOUSON LAINAGE	VETH	 44.95 CHF 
GEO00034	PARKA A CAPUCHE FOURRURE DU S AU XXL	VETH	 119.00 CHF 
2038393	BOX 91 PCS	DROG	#N/A
68587150	48 TABLETTES LAVE VAISSELLE TOUT EN 1 + 48 OFFERTES	DROG	 17.95 CHF 
68587152	48 TABLETTES LAVE VAISSELLE TOUT EN 1 + 48 OFFERTES CITRON	DROG	 17.95 CHF 
3A13952	ROBE MAILLE UNI COL CONTRASTE DU S AU XL	VETF	 24.95 CHF 
3J16715M	DOUDOUNE LONGUE A CAPUCHE MARINE DU S AU XL	VETF	 79.95 CHF 
CE00579	PANTALON	VETH	 19.95 CHF 
CE00715	PANTALON	VETH	 19.95 CHF 
CE00789	GROS CARDIGAN	VETH	 24.95 CHF 
CE00847	PARKA	VETH	 64.95 CHF 
LA00179	MANTEAU GRIS COL FAUSSE FOURRURE DU S AU XL	VETF	 79.95 CHF 
MM00405	PULL A MOTIFS DU S AU XL	VETF	 19.95 CHF 
1.000.027.014	CREME VISAGE ANTI-RIDES RETINOL	BEAU	 4.95 CHF 
1.000.027.015	CREME VISAGE ANTI-TACHES NIACINAMIDE	BEAU	 4.95 CHF 
